"rules","support","confidence","coverage","lift","count"
"{cake bar} => {whole milk}",0.00559227249618709,0.423076923076923,0.0132180986273513,1.65577458752946,55
"{mustard} => {whole milk}",0.00518556176919166,0.432203389830508,0.011997966446365,1.69149237524196,51
"{potted plants} => {whole milk}",0.00691408235892222,0.4,0.0172852058973055,1.56545961002786,68
"{pasta} => {whole milk}",0.00610066090493137,0.405405405405405,0.0150482968988307,1.58661446962283,60
"{herbs} => {root vegetables}",0.00701576004067107,0.43125,0.016268429079817,3.95647737873134,69
"{herbs} => {other vegetables}",0.00772750381291307,0.475,0.016268429079817,2.45487388334209,76
"{herbs} => {whole milk}",0.00772750381291307,0.475,0.016268429079817,1.85898328690808,76
"{processed cheese} => {whole milk}",0.00701576004067107,0.423312883435583,0.0165734621250635,1.65669805355709,69
"{semi-finished bread} => {whole milk}",0.00711743772241993,0.402298850574713,0.017691916624301,1.57445650433836,70
"{detergent} => {whole milk}",0.00894763599389934,0.465608465608466,0.0192170818505338,1.82222811749274,88
"{baking powder} => {other vegetables}",0.00732079308591764,0.413793103448276,0.017691916624301,2.13854712160473,72
"{baking powder} => {whole milk}",0.00925266903914591,0.522988505747126,0.017691916624301,2.04679345563987,91
"{flour} => {whole milk}",0.00843924758515506,0.485380116959064,0.0173868835790544,1.89960742152503,83
"{soft cheese} => {other vegetables}",0.00711743772241993,0.416666666666667,0.0170818505338078,2.15339814328254,70
"{soft cheese} => {whole milk}",0.00752414844941535,0.44047619047619,0.0170818505338078,1.72386921342353,74
"{grapes} => {other vegetables}",0.0090493136756482,0.404545454545455,0.0223690899847483,2.09075383365977,89
"{hard cheese} => {whole milk}",0.0100660904931368,0.410788381742739,0.0245043213014743,1.6076815497174,99
"{butter milk} => {whole milk}",0.0115912557193696,0.414545454545455,0.0279613624809354,1.62238541402887,114
"{ham} => {whole milk}",0.0114895780376207,0.44140625,0.0260294865277072,1.72750913997214,113
"{sliced cheese} => {whole milk}",0.0107778342653787,0.439834024896266,0.0245043213014743,1.72135600272772,106
"{oil} => {whole milk}",0.011286222674123,0.402173913043478,0.0280630401626843,1.57396754269105,111
"{onions} => {other vegetables}",0.0142348754448399,0.459016393442623,0.0310116929334011,2.37226811850142,140
"{hamburger meat} => {other vegetables}",0.0138281647178444,0.415902140672783,0.033248601931876,2.14944695402881,136
"{hamburger meat} => {whole milk}",0.0147432638535841,0.443425076452599,0.033248601931876,1.73541011815015,145
